,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,-0.12580240701917167,0.004494357933391819,0.04378318891797988,-0.006785696032029989,0.6208751959719507,0.5379683345030339,0.20177550308420855,0.2890473838686418,0.48099429409978384,0.14803467353901534,0.14947626223169422,0.37733879403315085,0.05786064990752267,0.16293153720532982,0.1663577646661475,0.03952406458106115,-0.25901778829761524
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",-0.12580240701917167,1.0,0.07647612305648047,0.2071946989996357,-0.3307398201037218,-0.12653156433960486,-0.08960413048151629,-0.043275151427482846,-0.0333216757524012,-0.1155625652982283,0.14758320658958335,-0.021732521793712805,0.30701487172442066,0.4684879638453623,-0.20555899417348308,0.007936172519337514,-0.011817272480465393,0.30128387924133115
"Gross value added (millions of euro), L Real estate activities",0.004494357933391819,0.07647612305648047,1.0,0.6797123639014006,-0.4762868766772761,-0.545663513814132,-0.07957735291775561,-0.5187202210150257,-0.6329364451983923,0.003339580710820364,0.2837963404696458,0.5580126966153381,-0.370367249167116,-0.5307442541976586,-0.3792834380194648,0.49379157012161773,-0.7037864019727504,-0.5089119886069798
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.04378318891797988,0.2071946989996357,0.6797123639014006,1.0,-0.2714559133042875,-0.28828526108209773,0.04587480997657872,-0.29440004134217046,-0.4399842926571371,0.08464335572415434,0.18432345610495535,0.6765284777410452,0.05351339444540024,-0.18666619487050687,-0.12563173974360928,-0.00487122092304504,-0.4985455643230764,-0.66612833907841
"Gross value added (millions of euro), B Mining and quarrying (05-09)",-0.006785696032029989,-0.3307398201037218,-0.4762868766772761,-0.2714559133042875,1.0,0.36665208055237397,0.3280726649792798,0.7150984280064611,0.3916526677306881,0.2692026020967161,-0.07146081404976962,-0.3996762442769746,0.04637425030402684,0.27494268013967627,0.8033444132079992,-0.580025316462876,0.57831502663227,0.21621871810735424
"Gross value added (millions of euro), F Construction (41-43)",0.6208751959719507,-0.12653156433960486,-0.545663513814132,-0.28828526108209773,0.36665208055237397,1.0,0.46512062242075564,0.5569761915577013,0.5486965532966119,0.48702864992692946,-0.17999002046940157,-0.1564199522360935,0.5332610577933228,0.39604908701619157,0.46097408347654306,-0.25336919770572713,0.4982384236335687,0.057044037796002374
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.5379683345030339,-0.08960413048151629,-0.07957735291775561,0.04587480997657872,0.3280726649792798,0.46512062242075564,1.0,0.49616408795107236,0.0894573750941996,0.1339037012072779,0.3538262123283049,0.004298517145349027,0.2434406041586648,0.20850225756868798,0.30754944629761805,-0.005292713783924839,0.18474173390348583,-0.14802663774303376
"Gross value added (millions of euro), H Transportation and storage (49-53)",0.20177550308420855,-0.043275151427482846,-0.5187202210150257,-0.29440004134217046,0.7150984280064611,0.5569761915577013,0.49616408795107236,1.0,0.3347590042748599,0.3198157842268023,0.00600644194155668,-0.5571283919714857,0.32289097887963675,0.5822193238109796,0.7343013683283206,-0.3856670433344273,0.7565153907037176,0.374580956352419
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.2890473838686418,-0.0333216757524012,-0.6329364451983923,-0.4399842926571371,0.3916526677306881,0.5486965532966119,0.0894573750941996,0.3347590042748599,1.0,0.32447343248528737,0.07361754767074927,-0.3934090176227151,0.5342819669324831,0.30051166467609874,0.4356229408509408,-0.2883815621682335,0.6794741105936343,0.3841086691868074
"Gross value added (millions of euro), J Information and communication (58-63)",0.48099429409978384,-0.1155625652982283,0.003339580710820364,0.08464335572415434,0.2692026020967161,0.48702864992692946,0.1339037012072779,0.3198157842268023,0.32447343248528737,1.0,-0.08487140168710765,0.053537225144281206,0.5034485900228389,0.3238428585058098,0.5168084994013911,-0.28412730791388496,0.3024937098478379,-0.11945100615486141
