,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,-0.041391326295657095,0.023324284579321314,-0.07490100709342462,0.302922758676756,0.6615194477933145,0.5286227054147845,0.4322170148033705,0.02630086441737287,0.3148670239342333,0.28873557317267207,0.3213645610319395,0.2830455920281037,0.19916357770021006,0.004597963296302814,-0.05986423745673023,-0.2701799685998184,-0.5669605509326305
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",-0.041391326295657095,1.0,-0.07849825709548257,0.7860752042231058,-0.630984732793618,-0.18144613024324233,0.019647411480417272,-0.010098792200149106,0.007581716272868565,-0.06965163824160839,-0.27418995521453204,0.18600894243922927,0.45904658087599653,0.27313161564273253,0.34942262353767134,0.4798362690788502,0.5192046523472591,-0.2774755164633902
"Gross value added (millions of euro), L Real estate activities",0.023324284579321314,-0.07849825709548257,1.0,0.020517665936623772,-0.13157340105601198,0.12587585767299708,0.09564536033948713,0.5273626000861882,0.45187489821054105,0.4969758796482,0.7001047768238339,0.5563282074116559,-0.045409629810277664,0.17251022364313057,-0.22491780179019455,-0.07073766120889993,0.08052886727873544,-0.3098214851459832
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",-0.07490100709342462,0.7860752042231058,0.020517665936623772,1.0,-0.39091193451164785,0.015597247334215449,-0.1931002282630171,0.2723355668567807,0.0663288937162912,-0.00412794205619998,-0.12281013417589273,0.2236963503331696,0.6336841605668388,0.07338489309263563,0.2704520731279029,0.5904547167110932,0.4974412362895144,-0.29681692056604714
"Gross value added (millions of euro), B Mining and quarrying (05-09)",0.302922758676756,-0.630984732793618,-0.13157340105601198,-0.39091193451164785,1.0,0.23069019785253522,-0.20118044132480542,0.12641303610312934,-0.1111990503495126,-0.05423388041827948,0.14479465677916342,-0.1296614021351837,-0.03523899936783922,-0.5773631189110755,-0.3025882264250763,-0.4166673002520088,-0.4291869483310388,-0.04816090054095904
"Gross value added (millions of euro), F Construction (41-43)",0.6615194477933145,-0.18144613024324233,0.12587585767299708,0.015597247334215449,0.23069019785253522,1.0,0.392093470563882,0.406916013723431,0.3308362467147605,0.26123268478779227,0.32464591938661375,0.39848584737698645,0.44170041207301497,0.04698123591919518,0.01779457103179837,-0.12561003431504247,-0.1464112867307796,-0.5219282691950661
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.5286227054147845,0.019647411480417272,0.09564536033948713,-0.1931002282630171,-0.20118044132480542,0.392093470563882,1.0,0.27296930872627284,0.25928469389592884,0.008838584058176778,0.10553473041090308,0.0983481820737492,0.1498759785954664,0.583621570480689,0.30444090913184085,0.08807003346955054,0.10445663667494172,-0.15713981449173448
"Gross value added (millions of euro), H Transportation and storage (49-53)",0.4322170148033705,-0.010098792200149106,0.5273626000861882,0.2723355668567807,0.12641303610312934,0.406916013723431,0.27296930872627284,1.0,0.2512633864560344,0.5338684761501478,0.6882128539974699,0.5856622982682319,0.4192782527475136,0.10923454946456382,-0.07490721009029636,-0.017869330346088824,-0.05936616110560362,-0.6460704079843417
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.02630086441737287,0.007581716272868565,0.45187489821054105,0.0663288937162912,-0.1111990503495126,0.3308362467147605,0.25928469389592884,0.2512633864560344,1.0,-0.08936234588941046,0.0594586753326206,0.18550379330818664,0.3429063302250384,0.12242486881020831,0.13595777607552514,-0.048511530322615744,0.5679067616020436,0.0010367459036826933
"Gross value added (millions of euro), J Information and communication (58-63)",0.3148670239342333,-0.06965163824160839,0.4969758796482,-0.00412794205619998,-0.05423388041827948,0.26123268478779227,0.008838584058176778,0.5338684761501478,-0.08936234588941046,1.0,0.8110448828793915,0.856382554055065,-0.13114569306030155,0.24012690799590156,-0.22713265849464317,-0.1258715274198513,-0.45315394395685493,-0.6935204295160325
"Gross value added (millions of euro), K Financial and insurance activities (64-66)",0.28873557317267207,-0.27418995521453204,0.7001047768238339,-0.12281013417589273,0.14479465677916342,0.32464591938661375,0.10553473041090308,0.6882128539974699,0.0594586753326206,0.8110448828793915,1.0,0.7833501491431009,-0.04277086716069572,0.20711967213639995,-0.269836198485331,-0.2047716861517362,-0.3463667984046014,-0.5922006278799349
"Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)",0.3213645610319395,0.18600894243922927,0.5563282074116559,0.2236963503331696,-0.1296614021351837,0.39848584737698645,0.0983481820737492,0.5856622982682319,0.18550379330818664,0.856382554055065,0.7833501491431009,1.0,0.23323933182814222,0.30947672984634833,-0.17256595061845595,0.024530689442010787,-0.12822860082981413,-0.8076529629796734
"Gross value added (millions of euro), N Administrative and support service activities (77-82)",0.2830455920281037,0.45904658087599653,-0.045409629810277664,0.6336841605668388,-0.03523899936783922,0.44170041207301497,0.1498759785954664,0.4192782527475136,0.3429063302250384,-0.13114569306030155,-0.04277086716069572,0.23323933182814222,1.0,-0.06513670570941046,0.1352181117949124,0.3494697195845038,0.5031389270304564,-0.421568527353624
"Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)",0.19916357770021006,0.27313161564273253,0.17251022364313057,0.07338489309263563,-0.5773631189110755,0.04698123591919518,0.583621570480689,0.10923454946456382,0.12242486881020831,0.24012690799590156,0.20711967213639995,0.30947672984634833,-0.06513670570941046,1.0,0.46785503588852834,0.3639227046461027,0.10045330182458495,-0.06511841861858893
"Gross value added (millions of euro), P Education (85)",0.004597963296302814,0.34942262353767134,-0.22491780179019455,0.2704520731279029,-0.3025882264250763,0.01779457103179837,0.30444090913184085,-0.07490721009029636,0.13595777607552514,-0.22713265849464317,-0.269836198485331,-0.17256595061845595,0.1352181117949124,0.46785503588852834,1.0,0.09932509026399831,0.348438845261819,0.11141260979780163
"Gross value added (millions of euro), Q Human health and social work activities (86-88)",-0.05986423745673023,0.4798362690788502,-0.07073766120889993,0.5904547167110932,-0.4166673002520088,-0.12561003431504247,0.08807003346955054,-0.017869330346088824,-0.048511530322615744,-0.1258715274198513,-0.2047716861517362,0.024530689442010787,0.3494697195845038,0.3639227046461027,0.09932509026399831,1.0,0.3980224643252052,0.01608266862418655
"Gross value added (millions of euro), R, S Other service activities (90-96)",-0.2701799685998184,0.5192046523472591,0.08052886727873544,0.4974412362895144,-0.4291869483310388,-0.1464112867307796,0.10445663667494172,-0.05936616110560362,0.5679067616020436,-0.45315394395685493,-0.3463667984046014,-0.12822860082981413,0.5031389270304564,0.10045330182458495,0.348438845261819,0.3980224643252052,1.0,0.16461504287993983
