,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,-0.08830897620462688,-0.5495318671574659,0.31547745459061177,0.004941391798541216,-0.4764751307684253,-0.07460099534847062,0.31948975772802346,-0.3511204633321138,0.16365284003232375,0.44880783893011755,0.13011482061357324,0.3294481182513661,0.30164758107217043,0.5029039066255011,0.4383543131048308,0.6860752631767236,-0.3154531901057162
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",-0.08830897620462688,1.0,0.32983690834063917,-0.042937787636424724,0.20769661534129422,-0.3266172308782261,-0.006501294319790365,-0.08945897860037821,-0.002860359497756112,0.33599445259888394,0.05473452502129973,-0.18486974143125284,-0.029432115966661197,0.21897867022298498,0.25088951257592745,0.3025522184204209,0.19989206059884657,0.19012822149823438
"Gross value added (millions of euro), L Real estate activities",-0.5495318671574659,0.32983690834063917,1.0,-0.28137856320255544,-0.005996884060749045,0.440242464357759,0.06334756281990725,0.07449275257119102,0.5043017269459505,0.3831209778852599,0.29620098967116093,-0.12716197800751225,-0.0950954330529201,-0.1473051929186553,-0.2856649330171991,-0.15248301702134406,-0.4287459078313977,-0.0851862402819894
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.31547745459061177,-0.042937787636424724,-0.28137856320255544,1.0,-0.34022500870968064,-0.4258864878292747,-0.09175566714068661,-0.1778586542241542,-0.223825360269648,-0.051900062839942654,-0.12003973876223946,-0.27835779452997583,0.7133740197578678,0.2802805060999466,0.26794865699778564,0.6461339783060971,0.42621132710408016,0.20116630576672817
"Gross value added (millions of euro), B Mining and quarrying (05-09)",0.004941391798541216,0.20769661534129422,-0.005996884060749045,-0.34022500870968064,1.0,0.13368677714208646,-0.010602636304727214,0.0856600627020633,0.040872697401993584,0.050642242268231996,0.22719371701759697,0.20246723032847166,-0.16497194020660336,-0.08686234454574629,-0.018599249476491424,-0.05226301944491882,-0.44153734411866846,-0.37425157727332103
"Gross value added (millions of euro), F Construction (41-43)",-0.4764751307684253,-0.3266172308782261,0.440242464357759,-0.4258864878292747,0.13368677714208646,1.0,-0.16677384199002426,-0.12469395649756568,0.3594704955958275,-0.149517547073688,0.038677315780145584,0.26093672027955545,-0.09314457833438285,-0.387713553625843,-0.2323852130619208,-0.5719365550230774,-0.7493025225735259,-0.2712813644735299
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",-0.07460099534847062,-0.006501294319790365,0.06334756281990725,-0.09175566714068661,-0.010602636304727214,-0.16677384199002426,1.0,0.4938223409242704,-0.03454683163647726,0.42408095126115297,0.12373564788962482,0.23440938412645668,-0.07701894539012535,0.45361852461405855,-0.09748670141799395,0.17352340709321565,0.12888387106823798,-0.1677531924957271
"Gross value added (millions of euro), H Transportation and storage (49-53)",0.31948975772802346,-0.08945897860037821,0.07449275257119102,-0.1778586542241542,0.0856600627020633,-0.12469395649756568,0.4938223409242704,1.0,0.1374958495484937,0.5490210424450253,0.46418520669942775,0.542381716340603,-0.15835264145854877,0.37961420664332857,0.03361809172949259,0.2202556294160138,0.2919340317819012,-0.49891068204314226
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",-0.3511204633321138,-0.002860359497756112,0.5043017269459505,-0.223825360269648,0.040872697401993584,0.3594704955958275,-0.03454683163647726,0.1374958495484937,1.0,-0.023314339123100394,-0.017712190870654263,-0.00761395890505917,-0.31530368674392584,-0.32394822722122163,-0.28339851286629325,-0.5260985776405702,-0.398968019862477,-0.2756835063773141
"Gross value added (millions of euro), J Information and communication (58-63)",0.16365284003232375,0.33599445259888394,0.3831209778852599,-0.051900062839942654,0.050642242268231996,-0.149517547073688,0.42408095126115297,0.5490210424450253,-0.023314339123100394,1.0,0.6789147277344485,0.06297495645820046,0.0725079246919001,0.0853908818730307,0.1478341361867311,0.3188273619334685,0.25694119049234027,-0.16530749492685476
