,"A Agriculture, forestry and fishing (01-03)",B Mining and quarrying (05-09),F Construction (41-43),G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),H Transportation and storage (49-53),I Accommodation and food service activities (55-56),J Information and communication (58-63),K Financial and insurance activities (64-66),"M Professional, scientific and technical activities (69-75)",N Administrative and support service activities (77-82),O Public administration and defence; compulsory social security (84),P Education (85),Q Human health and social work activities (86-88),"R, S Other service activities (90-96)",T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)
"A Agriculture, forestry and fishing (01-03)",1.0,-0.5728764649112914,-0.07940748055396238,-0.1585733437919484,0.10660699831356249,-0.12208815413526057,0.7209224206421325,-0.2123277985230283,-0.0709044275437692,-0.04816507867694811,0.16390929626080866,-0.5352978603321156,-0.5882332977870723,-0.4667040990466528,-0.6260497264179558
B Mining and quarrying (05-09),-0.5728764649112914,1.0,-0.005805548069408232,-0.06223051512290739,-0.5254365893834191,0.05640036536048492,-0.6712551460810487,0.4817250425641809,0.2753271157626076,0.30343116590101926,-0.6340655669114961,0.7474485880171408,0.6963075057382357,0.5515752166641322,0.42553139719058763
F Construction (41-43),-0.07940748055396238,-0.005805548069408232,1.0,0.6902083025983181,-0.0853924902985941,0.403037250013574,-0.21429980915788782,0.44413418795779824,0.48887483514739455,0.3794010176362457,-0.0005824934942243313,0.011095677278426416,-0.09704452090208326,0.2097851586508019,-0.1357238455765517
G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),-0.1585733437919484,-0.06223051512290739,0.6902083025983181,1.0,0.14699079023503933,0.5356342614915023,-0.12045801996137902,0.23641408736504224,0.35831981416611425,0.34662640827025265,0.27322860107499297,-0.032418385931228796,-0.00587374452510718,0.17056554421425515,0.02690741532484968
H Transportation and storage (49-53),0.10660699831356249,-0.5254365893834191,-0.0853924902985941,0.14699079023503933,1.0,0.24078167015786883,0.4269622005152271,-0.5861632630587831,0.032146410101254824,-0.23970825658281408,0.5705412062675361,-0.4372893329742108,-0.37224343244276015,-0.4871002369247429,-0.09873956251992413
I Accommodation and food service activities (55-56),-0.12208815413526057,0.05640036536048492,0.403037250013574,0.5356342614915023,0.24078167015786883,1.0,0.027712461517494756,-0.1643769470474028,0.3410799472990485,0.3609703139494256,0.16184894017343043,0.1280576084948478,-0.04463811302145764,0.48927694200394256,0.2733348402859084
J Information and communication (58-63),0.7209224206421325,-0.6712551460810487,-0.21429980915788782,-0.12045801996137902,0.4269622005152271,0.027712461517494756,1.0,-0.6462927240662788,-0.3034634185496963,-0.32918528997895236,0.3620427329028287,-0.7225661210516852,-0.7218498485336319,-0.5668929282630327,-0.37034046936950626
K Financial and insurance activities (64-66),-0.2123277985230283,0.4817250425641809,0.44413418795779824,0.23641408736504224,-0.5861632630587831,-0.1643769470474028,-0.6462927240662788,1.0,0.45903943956115006,0.40778941549912423,-0.5728018820461045,0.3974676365386974,0.4415726422626158,0.2636721134486851,-0.18059227421184804
"M Professional, scientific and technical activities (69-75)",-0.0709044275437692,0.2753271157626076,0.48887483514739455,0.35831981416611425,0.032146410101254824,0.3410799472990485,-0.3034634185496963,0.45903943956115006,1.0,0.5463812167361813,-0.2703839584052437,0.307600420827772,0.1473444410875468,0.12673170548785453,-0.15347561543732424
N Administrative and support service activities (77-82),-0.04816507867694811,0.30343116590101926,0.3794010176362457,0.34662640827025265,-0.23970825658281408,0.3609703139494256,-0.32918528997895236,0.40778941549912423,0.5463812167361813,1.0,-0.3785242689201055,0.18801408894739682,0.1468651031736652,0.25169376341375166,0.00869157976105929
O Public administration and defence; compulsory social security (84),0.16390929626080866,-0.6340655669114961,-0.0005824934942243313,0.27322860107499297,0.5705412062675361,0.16184894017343043,0.3620427329028287,-0.5728018820461045,-0.2703839584052437,-0.3785242689201055,1.0,-0.5325729429693782,-0.19428172958497575,-0.1744071212753556,-0.03793089202772324
P Education (85),-0.5352978603321156,0.7474485880171408,0.011095677278426416,-0.032418385931228796,-0.4372893329742108,0.1280576084948478,-0.7225661210516852,0.3974676365386974,0.307600420827772,0.18801408894739682,-0.5325729429693782,1.0,0.4971778000825918,0.5738796352648989,0.3884783315908973
Q Human health and social work activities (86-88),-0.5882332977870723,0.6963075057382357,-0.09704452090208326,-0.00587374452510718,-0.37224343244276015,-0.04463811302145764,-0.7218498485336319,0.4415726422626158,0.1473444410875468,0.1468651031736652,-0.19428172958497575,0.4971778000825918,1.0,0.5974709917246105,0.5690818329908827
"R, S Other service activities (90-96)",-0.4667040990466528,0.5515752166641322,0.2097851586508019,0.17056554421425515,-0.4871002369247429,0.48927694200394256,-0.5668929282630327,0.2636721134486851,0.12673170548785453,0.25169376341375166,-0.1744071212753556,0.5738796352648989,0.5974709917246105,1.0,0.670878435476993
T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),-0.6260497264179558,0.42553139719058763,-0.1357238455765517,0.02690741532484968,-0.09873956251992413,0.2733348402859084,-0.37034046936950626,-0.18059227421184804,-0.15347561543732424,0.00869157976105929,-0.03793089202772324,0.3884783315908973,0.5690818329908827,0.670878435476993,1.0
