,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.04987352974576663,0.2010323827366275,0.04088758392001649,-0.31162666176845266,-0.130663742270371,0.3749958126709119,-0.36585879477900785,0.13394550698506608,0.263073378121665,0.12528292056119092,-0.0987909997813288,-0.19494940308721567,0.3789854795253321,-0.006939193011555849,-0.39557424831295906,-0.2821667930429265,-0.34362291557551794
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.04987352974576663,1.0,0.056021597895465826,0.18909834343028117,-0.26459081908895604,0.12316507805776061,0.08208604607088235,-0.19718115572869743,0.08779128264718784,0.10773613965289298,-0.04666395992106537,-0.20730643888494893,-0.027195317824377476,-0.19626465987426717,-0.06696965319669562,-0.09124121583958301,-0.06076272718520763,0.022965528696144048
"Gross value added (millions of euro), L Real estate activities",0.2010323827366275,0.056021597895465826,1.0,0.1547170503186685,-0.19775853181844177,-0.274565221739475,-0.20109734917835242,0.12117473355263138,0.10459567896902316,-0.4710804081035255,0.2701733300822081,-0.040497079008025585,0.10955652356053516,0.2159212435333179,0.11319695838026733,0.0010019734387399155,0.05459674453931477,-0.2540592059070091
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.04088758392001649,0.18909834343028117,0.1547170503186685,1.0,0.3428259867814234,0.01751249985641208,-0.005398719709108409,-0.100204738440056,-0.04384632600237019,0.16774405583912255,0.2612726731514254,-0.055294014199656315,0.002817870686292631,-0.01634482723702578,-0.15386035636633189,-0.11709230887582288,-0.09041104088768513,-0.15014473166881911
"Gross value added (millions of euro), B Mining and quarrying (05-09)",-0.31162666176845266,-0.26459081908895604,-0.19775853181844177,0.3428259867814234,1.0,-0.07354051724633336,-0.32073519849003707,-0.13659819564188622,0.02957723922789107,0.299228053131669,0.360527995133514,0.0773107613771382,-0.31488065432503665,-0.4769376964494718,-0.1984098692556308,-0.22785728891708082,0.21147532094489588,0.15754388691887553
"Gross value added (millions of euro), F Construction (41-43)",-0.130663742270371,0.12316507805776061,-0.274565221739475,0.01751249985641208,-0.07354051724633336,1.0,0.6155158461855854,0.11626856031972535,0.34709210414528374,0.264581312313584,0.40332887235441606,0.23692511501328362,0.607525263654427,-0.2127318197989576,0.6108070101405583,0.4612922467304718,0.47268206700345805,0.3761066386413605
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.3749958126709119,0.08208604607088235,-0.20109734917835242,-0.005398719709108409,-0.32073519849003707,0.6155158461855854,1.0,-0.03747566226472465,0.1356220589071359,0.5323381716745808,0.2441139215849327,0.39238355679068954,0.37990185082314915,0.12955381625638665,0.5233726434020523,0.15753163946655746,0.32216619811083846,0.3684805240156364
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.36585879477900785,-0.19718115572869743,0.12117473355263138,-0.100204738440056,-0.13659819564188622,0.11626856031972535,-0.03747566226472465,1.0,0.1274249328722069,-0.46868153358309717,-0.017499128741402383,0.45779842336326365,0.40667283249982855,0.2193845877416657,0.26155791047422006,0.49114110913165415,0.4337138753360157,0.46047087198909226
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.13394550698506608,0.08779128264718784,0.10459567896902316,-0.04384632600237019,0.02957723922789107,0.34709210414528374,0.1356220589071359,0.1274249328722069,1.0,0.07434124138256595,0.5575322266533449,0.1554587827454102,0.36965909914349376,-0.10410405696892464,0.5622444629164873,0.28377434681334707,0.5564559521901435,-0.07009935089619515
"Gross value added (millions of euro), J Information and communication (58-63)",0.263073378121665,0.10773613965289298,-0.4710804081035255,0.16774405583912255,0.299228053131669,0.264581312313584,0.5323381716745808,-0.46868153358309717,0.07434124138256595,1.0,0.28619047863564695,0.13430537674121878,-0.1984315365670426,-0.2834458236286536,0.11712768314927234,-0.30823532236985995,0.048265687642315695,0.19529075048745234
