,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.22120323085061694,0.01487132727840191,0.1666683561051223,0.12436105218266955,-0.06885538232950227,-0.12491900190611065,-0.029122598442500855,0.2333602794527057,-0.04970745232625726,0.3488836738744732,0.049118509205163974,0.0413483858247386,-0.09049753558026517,0.12736261285211664,0.31365761065250514,-0.18324323876200885,0.07697728760769883
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.22120323085061694,1.0,0.4251942359096977,-0.0820802876232104,0.011722833440153554,-0.4836195526122597,0.0006612102167662192,0.4116464910252056,0.29198662358073285,-0.30809424377644207,0.5974578328131649,-0.15389552950088856,0.23638201496355174,-0.02917435556861428,-0.22498078757076104,0.3434355098406073,-0.7946894825684577,0.04269232679243251
"Gross value added (millions of euro), L Real estate activities",0.01487132727840191,0.4251942359096977,1.0,-0.36056072668702094,0.18170271333635357,0.13287109319166182,0.5352967222842929,0.2871412606587437,0.535269449946969,0.3061251991488895,0.017496198140120753,0.3730353719122652,0.3979517836948598,0.46183056016660173,0.23099262220468636,0.3015674669028359,-0.24124396234955342,-0.6824069593099672
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.1666683561051223,-0.0820802876232104,-0.36056072668702094,1.0,0.4060260701274781,-0.29445224361170586,-0.36036752987927995,-0.46170260491736376,-0.4566015847590396,-0.4145691716085518,0.3671247637633089,0.022643985230367637,-0.34431178514587335,-0.30754879867882384,-0.04140697404144179,-0.13631481311017074,-0.15459516922908545,0.6050957650260101
"Gross value added (millions of euro), B Mining and quarrying (05-09)",0.12436105218266955,0.011722833440153554,0.18170271333635357,0.4060260701274781,1.0,-0.10505621715131543,0.028399009880417058,-0.4186209490685948,0.008658475528651838,0.22164006300021097,0.053584722730349414,0.38799221677058615,-0.30654169064599557,0.4588362929381718,0.2227764673861967,0.3515601493952826,-0.09197892418381413,-0.035889557726574435
"Gross value added (millions of euro), F Construction (41-43)",-0.06885538232950227,-0.4836195526122597,0.13287109319166182,-0.29445224361170586,-0.10505621715131543,1.0,0.13138043323541318,0.1277694036672522,-0.07963926644220393,0.559596675562324,-0.5763019058824451,0.06733939166437358,0.2241066928952759,0.1877325915279837,-0.09801181846317032,-0.33775651620541863,0.6834995894104533,-0.4497435824786082
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",-0.12491900190611065,0.0006612102167662192,0.5352967222842929,-0.36036752987927995,0.028399009880417058,0.13138043323541318,1.0,0.31450720264560306,0.6686310639074783,0.3720508504022503,-0.3189738713102429,0.5272876972845086,0.05364093526363048,0.6188429276995087,0.3160843482089981,0.24535229089605043,0.24827421046148487,-0.6394696133032087
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.029122598442500855,0.4116464910252056,0.2871412606587437,-0.46170260491736376,-0.4186209490685948,0.1277694036672522,0.31450720264560306,1.0,0.4566809903206498,-0.00106337422860718,-0.10189289807288252,-0.2578009211343382,0.5657604013803349,0.005920729771643068,-0.5166118638360476,-0.14759451637107582,-0.1145963083348312,-0.2971819321449485
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.2333602794527057,0.29198662358073285,0.535269449946969,-0.4566015847590396,0.008658475528651838,-0.07963926644220393,0.6686310639074783,0.4566809903206498,1.0,0.18723797353931917,0.0988877323908974,0.21086501983591432,0.27282528076363133,0.33673692518751003,0.24918181302909598,0.32595625295977904,-0.11802675203470413,-0.408819833732774
"Gross value added (millions of euro), J Information and communication (58-63)",-0.04970745232625726,-0.30809424377644207,0.3061251991488895,-0.4145691716085518,0.22164006300021097,0.559596675562324,0.3720508504022503,-0.00106337422860718,0.18723797353931917,1.0,-0.6538708331453482,0.35067214096992677,0.07077049812127592,0.6899828099217808,0.41758381791004257,0.115084208127343,0.4384690078019652,-0.5725652612728657
