,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,-0.13580729003249759,0.6052956617033189,-0.22008033405645092,-0.2555301080404205,-0.3811908995008675,-0.21350782546360025,-0.5655439788520232,0.36622488488214466,-0.2180839585151386,0.46456616631205366,0.021861461746636533,-0.5095568771289869,0.11166048192151706,0.16117547302549842,-0.370068135571448,-0.5891058595733163,-0.6749962583121577
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",-0.13580729003249759,1.0,-0.08648299715122895,0.18697045044935262,0.02708109049633369,-0.057123232738703796,0.1183810550100706,0.2728613373438192,-0.05040594422742984,0.023917618680224323,-0.04292484113092854,-0.1745731165577617,-0.007798651419401041,-0.0522985113348009,-0.09760949609387141,0.3954097977709159,0.06339127103945341,0.42982304447408926
"Gross value added (millions of euro), L Real estate activities",0.6052956617033189,-0.08648299715122895,1.0,0.218439000646164,-0.3431383174992328,-0.4463285832261843,-0.2630698483528246,-0.5710211260007158,0.38562079340456235,-0.18496020211551845,0.4028469937060285,-0.04021209636812397,-0.3440092864884865,0.17424686181801216,-0.004201992741508814,-0.1978338171227057,-0.4001986508748182,-0.6403370382453085
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",-0.22008033405645092,0.18697045044935262,0.218439000646164,1.0,0.24588797444408353,0.051902450341075705,0.24822057373285372,0.24166304696513696,0.03168554348003826,-0.053347331131220664,-0.3074115573437982,0.2250315059958065,0.347314313807261,0.28380614677809585,0.034803712496944965,0.34661795789503536,0.38959263990792464,0.14243905143748367
"Gross value added (millions of euro), B Mining and quarrying (05-09)",-0.2555301080404205,0.02708109049633369,-0.3431383174992328,0.24588797444408353,1.0,0.23056083522028947,0.16036404877355456,0.4931531893969702,-0.050683267649553776,0.25752299292782704,-0.422876100209932,0.48211605945734076,0.07220110519142134,0.1384853489956574,0.2351460610529126,0.3167024397455584,0.35329787804770446,0.4192874212062963
"Gross value added (millions of euro), F Construction (41-43)",-0.3811908995008675,-0.057123232738703796,-0.4463285832261843,0.051902450341075705,0.23056083522028947,1.0,0.722266053223004,0.3345596941104064,-0.17464099816402592,0.3873767370521423,-0.41454720889668084,0.3495538119557277,0.6733016431141143,-0.02205327904051263,0.3285899552171729,0.15014478509800833,0.6915500082635591,0.47181862776864036
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",-0.21350782546360025,0.1183810550100706,-0.2630698483528246,0.24822057373285372,0.16036404877355456,0.722266053223004,1.0,0.24641853567307814,-0.35121252884994586,0.36536986927614656,-0.33628259090888746,0.24872625236176593,0.6979390996470528,0.21880606687061824,0.30613644174460874,0.2392896795734465,0.49611340416867533,0.4287306897475736
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.5655439788520232,0.2728613373438192,-0.5710211260007158,0.24166304696513696,0.4931531893969702,0.3345596941104064,0.24641853567307814,1.0,-0.25214206032004516,0.16050912613575205,-0.46219396896760306,0.24932600805640928,0.3473224438729763,0.09608311335164271,-0.01275378832143373,0.6730061584610949,0.5096778155847785,0.6176682078398938
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.36622488488214466,-0.05040594422742984,0.38562079340456235,0.03168554348003826,-0.050683267649553776,-0.17464099816402592,-0.35121252884994586,-0.25214206032004516,1.0,0.1004519240863153,0.037844162656245434,0.106997402863517,-0.19148656548469103,0.31492518305023226,0.057321149884089366,-0.4109188671821891,-0.05908349896312787,-0.2988713753305482
"Gross value added (millions of euro), J Information and communication (58-63)",-0.2180839585151386,0.023917618680224323,-0.18496020211551845,-0.053347331131220664,0.25752299292782704,0.3873767370521423,0.36536986927614656,0.16050912613575205,0.1004519240863153,1.0,0.04589711100763306,0.1714092023503217,0.25305465664571036,-0.08111777473189212,0.001560764339654155,0.08529419368805162,0.21130615818504653,0.17760912298418305
