,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,-0.3715041202945635,0.310912912686867,0.44359373312026595,-0.30862097807160926,-0.19473994165635747,-0.49931685554369887,-0.30735401794594414,-0.09301995096368576,-0.10554504320050341,0.4623354682599516,-0.027652283115692535,-0.2620228880750349,0.13444867780573164,-0.3886237189079217,-0.44762690712788383,-0.29916774728178547,-0.3906799069080304
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",-0.3715041202945635,1.0,-0.5593416625544846,-0.004788482914008436,0.5011792722282765,0.2904119997702545,0.2304737733451449,0.4007417863886263,0.5205829758826604,-0.028967388510468362,-0.14740624322594587,0.24180602048513314,0.24228122671906083,0.2945495340059822,0.6843527714164366,0.6054903934335906,0.5369770137484239,0.6010368940331609
"Gross value added (millions of euro), L Real estate activities",0.310912912686867,-0.5593416625544846,1.0,0.09534362547438512,-0.08080592540863593,-0.49714454422893983,-0.5643060807391197,-0.5884023013270843,-0.7466440401456965,0.20782003870952867,0.30761829594639595,-0.22055660917338785,-0.735999905686669,-0.17218873098775553,-0.6576217742412804,-0.3893439826466621,-0.908708468335521,-0.811465652102035
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.44359373312026595,-0.004788482914008436,0.09534362547438512,1.0,-0.42455868829109633,0.06457714687309281,-0.33284001539932806,-0.26081222917320473,0.012611160163369103,-0.28630494183274896,0.5558107450308143,-0.11345468373258517,-0.36592729867191587,0.26952763274880676,-0.130693000306557,-0.3981392163253365,-0.08854764508300456,-0.20074439530479396
"Gross value added (millions of euro), B Mining and quarrying (05-09)",-0.30862097807160926,0.5011792722282765,-0.08080592540863593,-0.42455868829109633,1.0,0.24324709994046906,0.031059993118346126,0.3166320461343708,0.12499558636722718,0.239340264883205,-0.105445542570712,0.050449712383077924,0.17614970096929145,-0.10235471708879085,0.6001941377976769,0.7183559251352224,0.2163973198331537,0.18310825271907635
"Gross value added (millions of euro), F Construction (41-43)",-0.19473994165635747,0.2904119997702545,-0.49714454422893983,0.06457714687309281,0.24324709994046906,1.0,0.3292500697933497,0.3328238050291092,0.419988344979946,0.048860209191802596,0.016506139596454333,0.2540604130366519,0.5497987423562485,-0.15370114398536971,0.6626479393919329,0.31315767402187317,0.6032308169525541,0.4910531651289857
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",-0.49931685554369887,0.2304737733451449,-0.5643060807391197,-0.33284001539932806,0.031059993118346126,0.3292500697933497,1.0,0.42270117722262107,0.29039535392061316,0.2684777599646507,-0.45803099720186896,0.1289745766142664,0.574192848904059,0.0611950991353469,0.48183148558867156,0.255749825411433,0.5929267738132814,0.6129442903816856
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.30735401794594414,0.4007417863886263,-0.5884023013270843,-0.26081222917320473,0.3166320461343708,0.3328238050291092,0.42270117722262107,1.0,0.3086542895826134,0.2583804732017226,-0.23100264856571925,0.30293148820704113,0.8031271902659796,0.13606946004523537,0.5201775648779035,0.5368626356931332,0.6061602753614276,0.5093708946456678
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",-0.09301995096368576,0.5205829758826604,-0.7466440401456965,0.012611160163369103,0.12499558636722718,0.419988344979946,0.29039535392061316,0.3086542895826134,1.0,-0.20366862264673397,-0.0830235731929721,0.28703547156626524,0.5172711806033915,0.17854006276950526,0.567572126116651,0.37305579305839176,0.8174387984531808,0.6254007220690108
"Gross value added (millions of euro), J Information and communication (58-63)",-0.10554504320050341,-0.028967388510468362,0.20782003870952867,-0.28630494183274896,0.239340264883205,0.048860209191802596,0.2684777599646507,0.2583804732017226,-0.20366862264673397,1.0,0.1962152360707376,0.049060366882509664,0.0951084312782117,-0.34229201911189816,0.1162196274330748,0.45845981758228743,-0.2013474578228045,-0.26819245944118003
