,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,-0.20904870884321475,0.29878780324261733,0.7505240582202702,-0.03159942641613598,0.3197515143257927,0.2300320647889278,0.4351724929893038,0.12483411472336259,0.26390145682619426,0.3624232892733493,0.48164370556159947,-0.1253572868668877,-0.2286606434405739,0.10365717501139948,0.16644365713948248,-0.16569883219801615,-0.6188577503150274
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",-0.20904870884321475,1.0,0.4412352740005283,-0.22234425376985006,-0.11918317065959741,-0.3536375611264973,-0.35866546775916547,-0.2756592709351546,0.3821330462585099,0.2054847526686895,0.37042977475921746,-0.3030848315848721,0.3180274942261495,0.10683001176790798,0.23336095144438007,0.4195395090365055,0.15328674132269843,0.2980689772095943
"Gross value added (millions of euro), L Real estate activities",0.29878780324261733,0.4412352740005283,1.0,0.2546265745372319,0.2297386104477456,-0.026429121308868476,-0.07319048099282761,-0.03957236578806937,0.6662563303043674,0.33719195405219365,0.38399580821085977,-0.17446886982702609,0.11189845396476156,-0.07165840097050463,-0.0005925852785439736,0.37403372943699353,0.34844825468363344,-0.07179659683230416
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.7505240582202702,-0.22234425376985006,0.2546265745372319,1.0,0.12298999737607633,0.351018486331111,0.06779835755975441,0.27565709923492826,-0.17490011388812482,0.30644966313175004,0.12047465204517503,0.3645991861219238,-0.2333446584718136,-0.18053827580478543,-0.18960360044421212,-0.05244845566703739,-0.17819660749495228,-0.6195033293809789
"Gross value added (millions of euro), B Mining and quarrying (05-09)",-0.03159942641613598,-0.11918317065959741,0.2297386104477456,0.12298999737607633,1.0,-0.06908771912263029,0.15317953543618035,-0.008073550477259111,0.23218513593967718,-0.17490260937868396,-0.09263883614930658,0.0965848000075216,0.012344707499243806,0.5196937106722881,-0.10034691260748718,-0.2196239846261498,0.26349882682329934,-0.069873375564965
"Gross value added (millions of euro), F Construction (41-43)",0.3197515143257927,-0.3536375611264973,-0.026429121308868476,0.351018486331111,-0.06908771912263029,1.0,0.24388911972181818,0.17533773711850706,0.19707620506764478,-0.2015334246028581,0.12692896407516122,0.5779118696590448,0.4070585741133425,-0.00980383993969052,-0.38866970251664373,0.13335895917321466,0.0910254766641056,-0.48050849794980866
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.2300320647889278,-0.35866546775916547,-0.07319048099282761,0.06779835755975441,0.15317953543618035,0.24388911972181818,1.0,0.4002039601382208,0.10199633330427221,-0.09021861025098352,-0.25091784650223076,0.30597994789071975,0.015929414571030327,0.336206579824904,0.22254552954503765,0.021434969913287426,-0.2115085854458207,-0.30394493547627843
"Gross value added (millions of euro), H Transportation and storage (49-53)",0.4351724929893038,-0.2756592709351546,-0.03957236578806937,0.27565709923492826,-0.008073550477259111,0.17533773711850706,0.4002039601382208,1.0,-0.06064983188660593,0.13126612019384232,-0.07539444595250759,0.23347845718740343,-0.3409869935899437,0.15516206252199116,0.16083092014671302,0.16820873665070216,0.1160184698502506,-0.6193399876087231
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.12483411472336259,0.3821330462585099,0.6662563303043674,-0.17490011388812482,0.23218513593967718,0.19707620506764478,0.10199633330427221,-0.06064983188660593,1.0,-0.20492126662053728,0.4352734289386097,0.03134721280778667,0.6028834492829065,0.13708092341630726,0.03489060565609605,0.46902658689399684,0.5280889783856708,0.03824936723646665
"Gross value added (millions of euro), J Information and communication (58-63)",0.26390145682619426,0.2054847526686895,0.33719195405219365,0.30644966313175004,-0.17490260937868396,-0.2015334246028581,-0.09021861025098352,0.13126612019384232,-0.20492126662053728,1.0,0.11888065865270837,-0.32008532031266745,-0.365518821079768,-0.09636925011491385,-0.0019786436372084162,0.3114284782218059,-0.005649242305619361,-0.2565742407919779
