,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.03323940710729946,-0.15027449783500077,0.09174790775554942,-0.139308630687701,0.30028300287082255,0.39589014340299256,-0.015050252014043145,-0.35772496700268447,0.13338574585442492,0.21059559515301096,-0.06198292833877309,0.1573172335812896,0.16372596660100713,-0.3590107682404973,0.390566795424055,0.017599964726673252,-0.13407825344891652
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.03323940710729946,1.0,0.25607462603637454,-0.3452225805370058,-0.15835308351838767,-0.21324900756381504,0.011617140185470779,0.5317501644633059,0.4560433616294078,0.20992369975313382,0.34251755146302215,0.01722690746116272,0.014499307295279026,0.6002054562678664,0.3571536639403354,0.4694578677180577,0.4366330810862473,-0.20120005086282117
"Gross value added (millions of euro), L Real estate activities",-0.15027449783500077,0.25607462603637454,1.0,0.1451563904248507,-0.23021959178929688,-0.240299168817926,-0.207578336601076,0.1337947076649648,-0.2494631719480886,-0.08575583584786571,0.3508610451869466,0.1418055645073237,0.24429105434845977,-0.06143215048912316,-0.037778201660101374,0.12821829605444596,-0.17103198061054262,0.06252823635177739
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.09174790775554942,-0.3452225805370058,0.1451563904248507,1.0,-0.05965771055447934,-0.26989029956251465,-0.4392810971137375,-0.7896881407775707,-0.6046664177651926,-0.4298052104761843,-0.04366326474799484,-0.10999641307135706,0.559937085105721,-0.21465867623753568,-0.6416442480491747,-0.5207233497143773,-0.3736209256961342,-0.34992980834345416
"Gross value added (millions of euro), B Mining and quarrying (05-09)",-0.139308630687701,-0.15835308351838767,-0.23021959178929688,-0.05965771055447934,1.0,0.14857987688353932,0.31323969398486073,0.055986811278462424,-0.056054069335563395,-0.29894273770574403,0.03903360512214229,0.2012793557669929,-0.40812643360922735,-0.27969095650538467,-0.19361914526129156,-0.23410873822617462,-0.2792007588330404,0.27898743862045744
"Gross value added (millions of euro), F Construction (41-43)",0.30028300287082255,-0.21324900756381504,-0.240299168817926,-0.26989029956251465,0.14857987688353932,1.0,0.8365944485365036,0.37210750126142544,-0.11018217531860829,0.12331007304466604,0.1797937088553203,-0.018925625597632757,-0.23555632565747014,-0.029690226033012874,0.13439124274058284,0.41310133359171236,0.20389389121492035,0.1416391243065016
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.39589014340299256,0.011617140185470779,-0.207578336601076,-0.4392810971137375,0.31323969398486073,0.8365944485365036,1.0,0.5685404172830758,0.01716423979242234,0.16283331092812528,0.27023519013962816,0.0662848580322066,-0.29579952416387445,0.050646008891852196,0.17519247289405188,0.5502970536113141,0.2686639725872292,0.25911773214693484
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.015050252014043145,0.5317501644633059,0.1337947076649648,-0.7896881407775707,0.055986811278462424,0.37210750126142544,0.5685404172830758,1.0,0.5300407435695953,0.19953520782824416,0.39204049827677057,0.1357644701883423,-0.3455923874254804,0.20114408143375542,0.6896142546737482,0.7477094475643903,0.5655366553615915,0.23746602436156894
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",-0.35772496700268447,0.4560433616294078,-0.2494631719480886,-0.6046664177651926,-0.056054069335563395,-0.11018217531860829,0.01716423979242234,0.5300407435695953,1.0,0.1481385501034835,0.14497499075851455,0.14665082878111338,-0.21381589443439583,0.2857426550733065,0.721253755806367,0.3184162587106777,0.48444658862685963,-0.03826181671959924
"Gross value added (millions of euro), J Information and communication (58-63)",0.13338574585442492,0.20992369975313382,-0.08575583584786571,-0.4298052104761843,-0.29894273770574403,0.12331007304466604,0.16283331092812528,0.19953520782824416,0.1481385501034835,1.0,0.12532408527572736,-0.16098128154063782,-0.2549410895607622,0.5630115470993862,0.17111943861249326,0.45621929789093507,0.1275954360820375,0.15634997173082305
