,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,-0.42154429118596315,0.5185664023293329,0.21326608833500849,0.11656847666437856,0.341630523145296,-0.4407921182221563,0.04908764719515692,0.38034588352031545,-0.014496615761875477,0.014664511789260657,0.6526233246082506,-0.43917006265255404,-0.13245058072387436,-0.388375802282829,0.07544524245297064,-0.4105723786115838,-0.21494662892467187
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",-0.42154429118596315,1.0,-0.469947525913745,-0.2868254930162794,-0.5448740848010624,-0.5339590589905456,0.2994601537183788,0.4108118551440942,0.08801096109965527,-0.300711982146472,0.24941959252963503,-0.493866264048195,0.33979073334922294,0.24610225665831376,0.42261120846989725,0.2358390726174681,0.3188415575906989,0.7093599993758193
"Gross value added (millions of euro), L Real estate activities",0.5185664023293329,-0.469947525913745,1.0,0.008148717242132364,0.5614818277464731,0.357552108346229,-0.3966716040987605,-0.2303718168243534,-0.014366620982943789,0.12722100606638698,-0.060203063900848224,0.4669573648821431,-0.6787115701112906,-0.6290630698255567,-0.5032617118953346,-0.11190060342907102,-0.6045264977077512,-0.4792541884939796
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.21326608833500849,-0.2868254930162794,0.008148717242132364,1.0,-0.28059544967755046,0.4213341805183312,-0.19239899946130445,0.0698386165087501,-0.13601173277467435,0.2360669007364487,0.13736812242686783,0.44354582094887096,0.05763568434504595,0.27189109440920944,0.2075930443075683,0.12590036132321622,0.29882719777467964,-0.22295454892139077
"Gross value added (millions of euro), B Mining and quarrying (05-09)",0.11656847666437856,-0.5448740848010624,0.5614818277464731,-0.28059544967755046,1.0,0.13818784481383176,-0.2510687797206929,-0.6515046965516864,-0.25824074438696726,0.31813540728340306,-0.5465847987107164,-0.022104017255362384,-0.4123838908951435,-0.6287967106770548,-0.560392187004703,-0.473758552747021,-0.6204500487413785,-0.6541856319520296
"Gross value added (millions of euro), F Construction (41-43)",0.341630523145296,-0.5339590589905456,0.357552108346229,0.4213341805183312,0.13818784481383176,1.0,-0.3558851495445629,0.10545227913125534,0.188010139471569,-0.05812939562878414,-0.21437985320826566,0.2581437935409275,-0.24167429471431376,0.05672313309151199,-0.17721296641335607,-0.22864648597042972,0.09191500367167102,-0.3850687008494918
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",-0.4407921182221563,0.2994601537183788,-0.3966716040987605,-0.19239899946130445,-0.2510687797206929,-0.3558851495445629,1.0,0.4875410890028309,-0.05986418540579584,0.07787778999262178,0.15797553585953442,-0.21120520363150874,0.7856607214299101,0.4687938034219798,0.589414478559183,0.5224572169332441,0.5887880710893325,0.28064334502472754
"Gross value added (millions of euro), H Transportation and storage (49-53)",0.04908764719515692,0.4108118551440942,-0.2303718168243534,0.0698386165087501,-0.6515046965516864,0.10545227913125534,0.4875410890028309,1.0,0.34563533233145405,-0.1443484834048206,0.3505814780638843,0.13102373965942316,0.3977615945951649,0.6142089805741016,0.5389258255426366,0.7003844786441387,0.6120350406591288,0.5139973627629638
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.38034588352031545,0.08801096109965527,-0.014366620982943789,-0.13601173277467435,-0.25824074438696726,0.188010139471569,-0.05986418540579584,0.34563533233145405,1.0,-0.2615033532785175,-0.08993092539381689,0.05077637370492791,0.10122727341012457,0.2024067656493903,0.005547509819116426,0.007009479019801416,0.23210890737440668,0.22008253632167993
"Gross value added (millions of euro), J Information and communication (58-63)",-0.014496615761875477,-0.300711982146472,0.12722100606638698,0.2360669007364487,0.31813540728340306,-0.05812939562878414,0.07787778999262178,-0.1443484834048206,-0.2615033532785175,1.0,-0.15932730356014763,0.23342210447901873,0.10325613912996907,-0.03521998605556879,0.12000844783531438,0.035102651364041594,0.01588438668791481,-0.37143307890940747
