,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.2484979391704532,-0.06715650571136364,-0.5386907504650525,0.3244407719000491,0.5408643599847589,0.4507901328205176,0.028699727574788135,0.25776447643647366,0.22323648742310065,0.27922142785575743,0.5800098564201256,0.030250662387028598,-0.19669199626503245,0.07040500403778238,0.15313312518032796,0.1996196557718977,0.030464326237959402
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.2484979391704532,1.0,0.39466959527091633,-0.3077817099223359,0.1152400013503707,-0.10685844005211224,-0.02280140722350599,-0.29423837404257974,0.26356635102578324,-0.11673505448478085,-0.12249644918156966,0.06954177670565681,-0.21514998418017364,-0.25090938013646213,-0.18834394458557044,-0.11010512012769298,-0.051602138885134534,-0.2777215354075132
"Gross value added (millions of euro), L Real estate activities",-0.06715650571136364,0.39466959527091633,1.0,-0.3032564224638463,0.0010254488030465739,-0.04025371006151922,-0.6946783814136122,-0.07524876962528536,-0.15776895371481314,0.12632520066453176,-0.5922145982816155,-0.4556723712944611,-0.12739610634613385,-0.1240853839637322,-0.3269748489451922,-0.5228534508545836,-0.31011491126630836,-0.6684664448810749
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",-0.5386907504650525,-0.3077817099223359,-0.3032564224638463,1.0,-0.04018382370539974,-0.08928722501407306,-0.0019896798841696666,0.24739355816377406,0.15030549200066506,-0.10107924074794454,0.24717183940398785,-0.2245168615679231,0.5850108321633265,0.599090577100789,0.3644735788770731,0.007541931273694839,0.3607621558153152,0.5535148267924358
"Gross value added (millions of euro), B Mining and quarrying (05-09)",0.3244407719000491,0.1152400013503707,0.0010254488030465739,-0.04018382370539974,1.0,0.030913969756606433,-0.004245583188007474,0.24280229048858296,0.5151920833148872,0.03702866174877341,-0.004848711988709174,0.4404958315704599,0.3745382666749864,0.08317380149684672,0.23468305826413605,0.2047903850884982,0.18891204135461806,0.2413739193672958
"Gross value added (millions of euro), F Construction (41-43)",0.5408643599847589,-0.10685844005211224,-0.04025371006151922,-0.08928722501407306,0.030913969756606433,1.0,0.17791599562113636,0.45116822950291813,0.3630224463296599,0.11649147406484069,0.20474567084039189,0.25854990107451986,0.23291036830618164,0.21344029525934663,0.28904491679654654,0.0991375734557302,0.606491871590225,0.22495853410051972
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.4507901328205176,-0.02280140722350599,-0.6946783814136122,-0.0019896798841696666,-0.004245583188007474,0.17791599562113636,1.0,-0.241878026189566,0.02590466576428572,-0.261036554964566,0.317426274631827,0.385520804062113,0.041469052074535655,-0.016603698043077042,-0.01836879280457966,0.24484436682414407,0.14599709075811185,0.2231444287522123
"Gross value added (millions of euro), H Transportation and storage (49-53)",0.028699727574788135,-0.29423837404257974,-0.07524876962528536,0.24739355816377406,0.24280229048858296,0.45116822950291813,-0.241878026189566,1.0,0.5037501296581627,0.4021630586962394,0.3397262660090185,0.17873081532731847,0.5933765102102289,0.45212379050997387,0.6591718466271554,-0.059568937642532696,0.6483584482046734,0.5038404759403524
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.25776447643647366,0.26356635102578324,-0.15776895371481314,0.15030549200066506,0.5151920833148872,0.3630224463296599,0.02590466576428572,0.5037501296581627,1.0,0.048156547438674924,0.3491698858939028,0.5612938353421532,0.46663651397684325,0.3537026398675024,0.7282051833144787,0.1702366100776392,0.7436198874306083,0.5674123127077771
"Gross value added (millions of euro), J Information and communication (58-63)",0.22323648742310065,-0.11673505448478085,0.12632520066453176,-0.10107924074794454,0.03702866174877341,0.11649147406484069,-0.261036554964566,0.4021630586962394,0.048156547438674924,1.0,0.3106703990990173,0.08968571273782426,0.21324363917438355,0.03782558097202123,0.07627581312642553,-0.12922474252766789,0.09607208244856989,-0.026881011499734587
"Gross value added (millions of euro), K Financial and insurance activities (64-66)",0.27922142785575743,-0.12249644918156966,-0.5922145982816155,0.24717183940398785,-0.004848711988709174,0.20474567084039189,0.317426274631827,0.3397262660090185,0.3491698858939028,0.3106703990990173,1.0,0.5586582547524509,0.23880241437137212,0.034950183359594475,0.48476384238219455,0.5284486365727483,0.5897037712697336,0.7000238164801031
"Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)",0.5800098564201256,0.06954177670565681,-0.4556723712944611,-0.2245168615679231,0.4404958315704599,0.25854990107451986,0.385520804062113,0.17873081532731847,0.5612938353421532,0.08968571273782426,0.5586582547524509,1.0,-0.05815619928064588,-0.2729782339994147,0.37085713759863376,0.6474855689847373,0.40196077298545413,0.48371691203046774
"Gross value added (millions of euro), N Administrative and support service activities (77-82)",0.030250662387028598,-0.21514998418017364,-0.12739610634613385,0.5850108321633265,0.3745382666749864,0.23291036830618164,0.041469052074535655,0.5933765102102289,0.46663651397684325,0.21324363917438355,0.23880241437137212,-0.05815619928064588,1.0,0.8200875203850914,0.6188707442350725,-0.36049861986761933,0.5256377665535493,0.46078220309194573
"Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)",-0.19669199626503245,-0.25090938013646213,-0.1240853839637322,0.599090577100789,0.08317380149684672,0.21344029525934663,-0.016603698043077042,0.45212379050997387,0.3537026398675024,0.03782558097202123,0.034950183359594475,-0.2729782339994147,0.8200875203850914,1.0,0.43324884705864036,-0.4773805134740734,0.4308597763218458,0.441002803583858
"Gross value added (millions of euro), P Education (85)",0.07040500403778238,-0.18834394458557044,-0.3269748489451922,0.3644735788770731,0.23468305826413605,0.28904491679654654,-0.01836879280457966,0.6591718466271554,0.7282051833144787,0.07627581312642553,0.48476384238219455,0.37085713759863376,0.6188707442350725,0.43324884705864036,1.0,0.07561866589189987,0.7010882406531804,0.6744229773317614
"Gross value added (millions of euro), Q Human health and social work activities (86-88)",0.15313312518032796,-0.11010512012769298,-0.5228534508545836,0.007541931273694839,0.2047903850884982,0.0991375734557302,0.24484436682414407,-0.059568937642532696,0.1702366100776392,-0.12922474252766789,0.5284486365727483,0.6474855689847373,-0.36049861986761933,-0.4773805134740734,0.07561866589189987,1.0,0.21331810639043083,0.47321953559368146
"Gross value added (millions of euro), R, S Other service activities (90-96)",0.1996196557718977,-0.051602138885134534,-0.31011491126630836,0.3607621558153152,0.18891204135461806,0.606491871590225,0.14599709075811185,0.6483584482046734,0.7436198874306083,0.09607208244856989,0.5897037712697336,0.40196077298545413,0.5256377665535493,0.4308597763218458,0.7010882406531804,0.21331810639043083,1.0,0.708991386080578
"Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)",0.030464326237959402,-0.2777215354075132,-0.6684664448810749,0.5535148267924358,0.2413739193672958,0.22495853410051972,0.2231444287522123,0.5038404759403524,0.5674123127077771,-0.026881011499734587,0.7000238164801031,0.48371691203046774,0.46078220309194573,0.441002803583858,0.6744229773317614,0.47321953559368146,0.708991386080578,1.0
