,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.4557235928196278,-0.2588609255924666,0.696045496943607,-0.5220153958514804,0.444239921330556,-0.18824016391277967,0.06304374239436908,-0.01363631087605,0.3051669246108276,0.6114386309783351,0.312974791332675,0.3100379047126219,-0.00943614122309951,-0.5142768751025015,0.04341289299425183,0.1158179765613473,0.1457750436822699
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.4557235928196278,1.0,-0.3078851754544972,0.3362481736575167,0.09796486145984444,0.04152759285286313,0.011149571939630407,-0.26396679253013544,-0.03494912279805648,-0.07425844183835585,0.22946543925394006,0.3877245288231803,0.1036867741953284,0.48006123077159324,-0.1577505908925755,0.432555811265038,0.46394287035031884,-0.2710132723600907
"Gross value added (millions of euro), L Real estate activities",-0.2588609255924666,-0.3078851754544972,1.0,0.0833470769289877,0.06342623402844894,0.41528341322321405,-0.21603128556873571,-0.28883027899438113,-0.2435506333832546,0.3826264112983076,-0.27045911420283164,-0.1979572271737105,0.2998375823771945,-0.2821075590376728,-0.2699811607651337,-0.3679975286788223,-0.04957408141834302,0.1829569921095586
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.696045496943607,0.3362481736575167,0.0833470769289877,1.0,-0.5055426493352544,0.5761276279457375,-0.3003452399308351,-0.061367287590603205,-0.1857192245807,0.6580926016354074,0.4385738323862236,0.3135454695073418,0.3736213955844644,-0.26734231375779943,-0.421818435129319,0.2364275838838453,0.1648742503455915,0.5549977456545675
"Gross value added (millions of euro), B Mining and quarrying (05-09)",-0.5220153958514804,0.09796486145984444,0.06342623402844894,-0.5055426493352544,1.0,-0.05960724265345795,0.05755026481905668,0.022915916101800424,0.3035731345104261,-0.45876579653466537,-0.22095855958821556,-0.1719965439025216,0.13354289137486203,0.24908625382051677,-0.028786745604964876,-0.23150274223739026,0.04115061922003139,-0.29930283948862163
"Gross value added (millions of euro), F Construction (41-43)",0.444239921330556,0.04152759285286313,0.41528341322321405,0.5761276279457375,-0.05960724265345795,1.0,-0.18090578486482212,-0.18943355879094997,-0.14264289877571565,0.4433368189476148,0.259083800180382,0.19707749876997577,0.5979560475732254,-0.28067213777379846,-0.7110151706071772,-0.16795430924214957,0.08810013955670026,0.3448752711082923
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",-0.18824016391277967,0.011149571939630407,-0.21603128556873571,-0.3003452399308351,0.05755026481905668,-0.18090578486482212,1.0,0.04166413496851265,0.13548970309193914,-0.4135010380197922,-0.12376725605256984,0.7093164219336007,0.0669596379712874,0.5203450357949242,0.36818111709000684,0.2661575600618363,0.39085721943018237,-0.6133789552446204
"Gross value added (millions of euro), H Transportation and storage (49-53)",0.06304374239436908,-0.26396679253013544,-0.28883027899438113,-0.061367287590603205,0.022915916101800424,-0.18943355879094997,0.04166413496851265,1.0,0.8532146918472561,-0.3173303494739028,0.20598758999412992,-0.08316914272133197,0.38948433476126937,0.011270040377350427,0.1393596829808776,-0.31109463659958275,0.15120321293261355,-0.023329676719987157
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",-0.01363631087605,-0.03494912279805648,-0.2435506333832546,-0.1857192245807,0.3035731345104261,-0.14264289877571565,0.13548970309193914,0.8532146918472561,1.0,-0.5212703841364907,0.09998236267799164,-0.05814969284395575,0.5544929584342098,0.2961555546347632,0.05849333890521781,-0.3757671732495211,0.24641178617822654,-0.3260141574277819
"Gross value added (millions of euro), J Information and communication (58-63)",0.3051669246108276,-0.07425844183835585,0.3826264112983076,0.6580926016354074,-0.45876579653466537,0.4433368189476148,-0.4135010380197922,-0.3173303494739028,-0.5212703841364907,1.0,0.1748395402662525,-0.052058842760885175,-0.0398009857146782,-0.663192138142629,-0.4083181088440574,0.19052102921854067,-0.2999579588659449,0.6381999242178868
